txn_ref_id,amount,source_system,exception_code,severity,description,risk_score
TXN-10065,2718.05,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10071,1001.59,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10076,3858.64,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10081,3120.26,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10084,1561.8,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10096,2618.44,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10068,382.01,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10070,3863.5,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10075,3647.75,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10082,1661.18,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10089,2366.35,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10078,1798.74,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10085,1632.66,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10088,4437.19,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10098,136.84,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10061,1364.03,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10062,4145.4,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10063,1790.2,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10064,1411.86,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
