txn_ref_id,match_ref_id,source_system,match_system,score,status,match_details,amount,value_date
TXN-10006,TXN-10006,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",299.84,2023-10-01
TXN-10008,TXN-10008,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",3009.56,2023-10-01
TXN-10010,TXN-10010,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",112.72,2023-10-01
TXN-10017,TXN-10017,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",2628.53,2023-10-01
TXN-10041,TXN-10041,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",2480.93,2023-10-01
TXN-10049,TXN-10049,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",932.42,2023-10-01
TXN10081,TXN-10081,SOURCE_B,SOURCE_A,0.9706,AUTO_RECONCILED,"{'ref_score': 0.94, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",3120.26,2023-10-01
TXN10084,TXN-10084,SOURCE_B,SOURCE_A,0.9706,AUTO_RECONCILED,"{'ref_score': 0.94, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",1561.8,2023-10-01
TXN-10093,TXN-10093,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",2810.77,2023-10-01
TXN-10094,TXN-10094,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",3857.13,2023-10-01
TXN-10002,TXN-10002,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",3662.65,2023-10-02
TXN-10004,TXN-10004,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",788.53,2023-10-02
TXN-10015,TXN-10015,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",925.19,2023-10-02
TXN-10018,TXN-10018,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",2165.41,2023-10-02
TXN-10029,TXN-10029,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",241.79,2023-10-02
TXN-10030,TXN-10030,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",3041.65,2023-10-02
TXN-10032,TXN-10032,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",334.61,2023-10-02
TXN-10033,TXN-10033,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",4744.94,2023-10-02
TXN-10035,TXN-10035,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",4043.9,2023-10-02
TXN-10045,TXN-10045,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",3315.99,2023-10-02
TXN-10048,TXN-10048,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",2738.08,2023-10-02
TXN-10051,TXN-10051,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",3877.91,2023-10-02
TXN-10055,TXN-10055,SOURCE_B,SOURCE_A,1.0,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 1.0, 'date_score': 1.0, 'diff_amt': 0.0, 'diff_days': 0}",4610.15,2023-10-02
TXN-10065,TXN-10065,SOURCE_B,SOURCE_A,0.95,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 0.9, 'date_score': 0.9, 'diff_amt': 0.01, 'diff_days': 1}",2718.04,2023-10-02
TXN-10071,TXN-10071,SOURCE_B,SOURCE_A,0.95,AUTO_RECONCILED,"{'ref_score': 1.0, 'amt_score': 0.9, 'date_score': 0.9, 'diff_amt': 0.02, 'diff_days': 1}",1001.61,2023-10-02
