txn_id,source_system,amount,currency,txn_date,settlement_delay,reference_similarity,match_probability,anomaly_score,sla_remaining,final_decision,override_flag,decision_cost
TXN_100000,SOURCE_A,4223.73,USD,2026-01-16 18:00:12,3,0.92,0.92,0.26,110,AUTO_RECONCILED,0,0
TXN_100001,SOURCE_C,942.23,USD,2026-01-12 02:03:09,3,0.86,0.86,0.99,229,EXCEPTION,0,2000
TXN_100002,SOURCE_C,232.66,USD,2026-01-26 13:43:02,3,0.51,0.51,0.43,111,OPS_REVIEW,0,0
TXN_100003,SOURCE_A,1578.6,USD,2026-01-20 01:27:54,0,0.63,0.63,0.42,191,OPS_REVIEW,0,0
TXN_100004,SOURCE_B,802.02,USD,2026-01-31 21:22:11,0,0.84,0.84,0.72,444,EXCEPTION,0,2000
TXN_100005,SOURCE_C,5007.15,USD,2026-01-11 09:42:44,0,0.79,0.79,0.99,23,EXCEPTION,0,2000
TXN_100006,SOURCE_A,2870.11,USD,2026-01-22 04:40:25,3,0.77,0.77,0.07,183,OPS_REVIEW,0,0
TXN_100007,SOURCE_C,1866.69,USD,2026-01-10 15:55:43,1,0.65,0.65,0.0,239,OPS_REVIEW,0,0
TXN_100008,SOURCE_A,1045.64,USD,2026-01-10 10:17:47,1,0.99,0.99,0.96,37,EXCEPTION,0,2000
TXN_100009,SOURCE_B,7070.31,USD,2026-01-30 20:14:10,0,0.49,0.49,0.63,70,OPS_REVIEW,0,0
TXN_100010,SOURCE_B,318.71,USD,2026-01-26 06:46:34,2,0.6,0.6,0.97,211,EXCEPTION,0,2000
TXN_100011,SOURCE_B,838.1,USD,2026-01-04 00:52:45,1,0.74,0.74,0.65,170,OPS_REVIEW,0,0
TXN_100012,SOURCE_C,502.04,USD,2026-01-21 16:33:38,1,0.72,0.72,0.25,448,OPS_REVIEW,0,0
TXN_100013,SOURCE_A,897.69,USD,2026-01-11 01:41:53,0,0.69,0.69,0.17,205,OPS_REVIEW,0,0
TXN_100014,SOURCE_C,1590.54,USD,2026-01-24 06:56:53,0,0.9,0.9,0.69,425,OPS_REVIEW,1,500
TXN_100015,SOURCE_C,1734.46,USD,2026-01-13 05:10:28,0,0.84,0.84,0.59,273,OPS_REVIEW,0,0
TXN_100016,SOURCE_B,1517.86,USD,2026-01-24 14:28:47,0,0.56,0.56,0.15,271,OPS_REVIEW,0,0
TXN_100017,SOURCE_A,462.68,USD,2026-01-03 08:10:55,0,0.71,0.71,0.68,94,OPS_REVIEW,0,0
TXN_100018,SOURCE_C,286.39,USD,2026-01-28 20:53:51,0,0.9,0.9,0.9,450,EXCEPTION,0,2000
TXN_100019,SOURCE_B,2368.93,USD,2026-01-22 19:56:41,0,0.5,0.5,0.23,210,OPS_REVIEW,0,0
TXN_100020,SOURCE_C,714.76,USD,2026-01-30 17:01:22,1,0.64,0.64,0.2,90,OPS_REVIEW,0,0
